site,group,latitude,longitude
Belolesye,Budzhak,45.59,29.7
Ciobruci,Budzhak,46.6,29.7
Nikolskoe,Budzhak,46.88,29.86
Novoselitsa,Budzhak,45.82,29.7
Novye Raskaetsy,Budzhak,46.53,29.77
Olaneshty,Budzhak,46.5,29.92
Purkary,Budzhak,46.54,29.86
Talmaz,Budzhak,46.64,29.66
Trapovka,Budzhak,45.8,29.7
Vishnevoye,Budzhak,45.81,29.77
Razdolovka-Ivano-Darevka,Donetsk-Luhansk,48.76,38.09
Artemovsk,Donetsk-Luhansk,48.61,38
Bobrikove,Donetsk-Luhansk,47.93,39.23
Chernukhino,Donetsk-Luhansk,48.32,38.52
Ivano-Darevka,Donetsk-Luhansk,48.81,38.2
Kindrativka,Donetsk-Luhansk,48.59,37.57
Krasnaya Zarya,Donetsk-Luhansk,48.38,38.68
Kripiaki,Donetsk-Luhansk,48.12,39.09
Lisichansk LNPZ,Donetsk-Luhansk,48.92,38.43
Nikolaivka,Donetsk-Luhansk,48.59,39.52
Novoamvrosyevka,Donetsk-Luhansk,47.32,38.5
Oleksandrivsk,Donetsk-Luhansk,48.58,39.18
Peredelsk,Donetsk-Luhansk,48.76,39.15
Preobrazhennoe,Donetsk-Luhansk,49.54,38.15
Prishib,Donetsk-Luhansk,48.74,38.93
Sokolniki,Donetsk-Luhansk,48.75,38.87
Stepnoy,Donetsk-Luhansk,48.87,37.63
Triokhizbenka,Donetsk-Luhansk,48.76,38.96
Voroshilovgrad Trikotazhnaya Fabrika,Donetsk-Luhansk,48.58,39.33
Voroshilovgrad VSHI,Donetsk-Luhansk,48.58,39.33
Zhitenko,Donetsk-Luhansk,47.8,38.68
Znamianka,Donetsk-Luhansk,48.75,38.91
Bilogradovka,Ingul,47.4,32.45
Kristoforovka,Ingul,47.27,32.26
Konstantynovka,Ingul,47.29,32.22
Limantsy Gorodska mogila,Ingul,46.87,32.83
Limantsy II,Ingul,46.87,32.83
Novorozanovka,Ingul,47.76,32.35
Otradnoye,Ingul,47.43,32.32
Pelageevka,Ingul,47.73,32.35
Pieski,Ingul,47.35,32.25
Privolnoie,Ingul,47.49,32.29
Sofievka,Ingul,47.69,32.36
Sokolovka,Ingul,47.33,32.93
Starorozanovka,Ingul,47.68,32.5
Starogorozheno,Ingul,47.5,32.34
Timofeevka,Ingul,47.07,32.8
Iushanli,Molochna,47.43,35.28
Akkermen I,Molochna,47.43,35.28
Akkermen II,Molochna,47.43,35.28
Dolina,Molochna,47.15,35.56
Novo-Pilipvika,Molochna,46.95,35.49
Troiskie,Molochna,47.06,35.45
Veliki Tokmak,Molochna,47.25,35.7
Zamozhne,Molochna,47.27,35.62
Aleksandrovka,Orel-Samara,48.52,35.23
Blagodatnoe IV,Orel-Samara,48.52,35.87
Blagodatnoe V,Orel-Samara,48.52,35.87
Buzovka,Orel-Samara,49.13,35.09
Dmukhaylovka XI,Orel-Samara,49.06,34.76
Dmukhaylovka XIII,Orel-Samara,49.06,34.76
Dmukhaylovka XIV,Orel-Samara,49.06,34.76
Ignatovka,Orel-Samara,48.52,35.87
Khashchevoe,Orel-Samara,48.7,35.34
Mykolaivka,Orel-Samara,48.38,36.31
Pryadovka,Orel-Samara,48.92,34.71
Shandrovka I,Orel-Samara,48.56,35.76
Shandrovka III,Orel-Samara,48.56,35.76
Terny-Dolgaya mogila II,Orel-Samara,48.52,35.87
Verbki,Orel-Samara,48.59,35.9
Verkhnyaya Mayovka XII,Orel-Samara,48.69,34.96
Verkhnyaya Mayovka XIII,Orel-Samara,48.69,34.96
Verkhnyaya Mayovka XIV,Orel-Samara,48.69,34.96
Verkhnyaya Mayovka XVIII,Orel-Samara,48.69,34.96
Malaya Kozyrshchyna,Orel-Samara,49.5,35.28
Kislichuvata I,Verkhnetarasovka,47.85,34.73
Kislichuvata II,Verkhnetarasovka,47.85,34.73
Kislichuvata III,Verkhnetarasovka,47.85,34.73
Novyi Mir Rodina,Verkhnetarasovka,47.72,34.79
Pavlovka,Verkhnetarasovka,48.06,34.55
Propashnoe,Verkhnetarasovka,48.04,34.49
Verkhnetarasovka,Verkhnetarasovka,47.57,34.87
